시군구,거래건수,평균_면적당_매매가,위도,경도
서울특별시 송파구 마천동,47,716.48,37.49803,127.15167
서울특별시 중구 장교동,47,454.35,37.5671882,126.9865674
서울특별시 중랑구 묵동,47,841.87,37.6127705,127.07852
서울특별시 종로구 관철동,46,1231.19,37.5687846,126.9857059
서울특별시 강서구 내발산동,45,546.43,37.5539189,126.8377194
서울특별시 서초구 우면동,45,629.94,37.4647545,127.0188666
서울특별시 영등포구 영등포동5가,45,2602.19,37.52095,126.9066
서울특별시 서대문구 북가좌동,44,695.21,37.5789959,126.9103438
서울특별시 서대문구 홍은동,44,582.44,37.5933933,126.9375964
서울특별시 용산구 신계동,41,3634.78,37.53539,126.96462
서울특별시 강동구 고덕동,40,1479.1,37.56528,127.15761
서울특별시 강동구 둔촌동,40,955.73,37.5278024,127.1362433
서울특별시 강서구 염창동,40,715.17,37.5553472,126.8725283
서울특별시 종로구 동숭동,40,1147.88,37.58096,127.0051932
서울특별시 중구 을지로7가,40,1394.58,37.56629,127.00897
